experiment,structure,x,metric,value
scaling,array,4140007,memory_bytes,33120056.0000
scaling,array,4140007,query_us,1.5873
scaling,array,4140007,total_hits,1136.0000
scaling,tree,4140007,build_ms,5772.1803
scaling,tree,4140007,memory_bytes,1429090536.0000
scaling,tree,4140007,query_us,2.9188
scaling,tree,4140007,total_hits,1136.0000
scaling,tree,4140007,node_count,6830554.0000
scaling,array,4251899,build_ms,578.0051
scaling,array,4251899,memory_bytes,34015192.0000
scaling,array,4251899,query_us,1.4152
scaling,array,4251899,total_hits,1128.0000
scaling,tree,4251899,build_ms,5877.1617
scaling,tree,4251899,memory_bytes,1467743568.0000
scaling,tree,4251899,query_us,2.9873
scaling,tree,4251899,total_hits,1128.0000
scaling,tree,4251899,node_count,7015493.0000
scaling,array,4363791,build_ms,592.5585
scaling,array,4363791,memory_bytes,34910328.0000
scaling,array,4363791,query_us,1.5330
scaling,array,4363791,total_hits,1110.0000
scaling,tree,4363791,build_ms,6086.4170
scaling,tree,4363791,memory_bytes,1506228608.0000
scaling,tree,4363791,query_us,3.1121
scaling,tree,4363791,total_hits,1110.0000
scaling,tree,4363791,node_count,7198523.0000
scaling,array,4475684,build_ms,627.4545
scaling,array,4475684,memory_bytes,35805472.0000
scaling,array,4475684,query_us,1.6440
scaling,array,4475684,total_hits,1106.0000
scaling,tree,4475684,build_ms,6465.2818
scaling,tree,4475684,memory_bytes,1544755560.0000
scaling,tree,4475684,query_us,2.7995
scaling,tree,4475684,total_hits,1106.0000
scaling,tree,4475684,node_count,7382027.0000
scaling,array,4587576,build_ms,645.2310
scaling,array,4587576,memory_bytes,36700608.0000
scaling,array,4587576,query_us,1.3093
scaling,array,4587576,total_hits,1102.0000
scaling,tree,4587576,build_ms,6424.3293
scaling,tree,4587576,memory_bytes,1583469928.0000
scaling,tree,4587576,query_us,3.0483
scaling,tree,4587576,total_hits,1102.0000
scaling,tree,4587576,node_count,7567663.0000
scaling,array,4699468,build_ms,672.2173
scaling,array,4699468,memory_bytes,37595744.0000
scaling,array,4699468,query_us,1.2138
scaling,array,4699468,total_hits,1093.0000
scaling,tree,4699468,build_ms,6670.8932
scaling,tree,4699468,memory_bytes,1621973448.0000
scaling,tree,4699468,query_us,2.9311
scaling,tree,4699468,total_hits,1093.0000
scaling,tree,4699468,node_count,7750903.0000
scaling,array,4811360,build_ms,729.6030
scaling,array,4811360,memory_bytes,38490880.0000
scaling,array,4811360,query_us,1.5850
scaling,array,4811360,total_hits,1169.0000
scaling,tree,4811360,build_ms,6991.3193
scaling,tree,4811360,memory_bytes,1660653320.0000
scaling,tree,4811360,query_us,3.0114
scaling,tree,4811360,total_hits,1169.0000
scaling,tree,4811360,node_count,7936147.0000
scaling,array,4923252,build_ms,708.0551
scaling,array,4923252,memory_bytes,39386016.0000
